,Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy
12536,Jun,5,Wednesday,Honda,Urban,Wednesday,Jun,5,Male,Married,68,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,12537,16,400,2,more than 30,more than 30,2 to 4,more than 7,No,No,External,3 to 5,no change,1 vehicle,1996,Liability
12537,Jul,5,Thursday,Pontiac,Urban,Wednesday,Aug,1,Male,Married,56,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,12538,5,400,4,more than 30,more than 30,2 to 4,more than 7,No,No,External,3 to 5,4 to 8 years,2 vehicles,1996,Collision
12538,Jul,5,Friday,Honda,Urban,Wednesday,Sep,3,Male,Married,49,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,12539,3,400,3,more than 30,more than 30,1,more than 7,No,No,External,1 to 2,no change,1 vehicle,1996,All Perils
12539,Aug,4,Thursday,Pontiac,Urban,Tuesday,Sep,2,Male,Married,76,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,12540,2,400,3,more than 30,more than 30,1,more than 7,No,No,External,more than 5,no change,1 vehicle,1996,All Perils
12540,Oct,2,Wednesday,Honda,Urban,Tuesday,Oct,3,Male,Married,30,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,12541,15,400,3,more than 30,more than 30,2 to 4,6 years,No,No,External,1 to 2,no change,1 vehicle,1996,Collision
12541,Oct,4,Thursday,Pontiac,Urban,Thursday,Oct,4,Male,Single,30,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,12542,4,400,2,more than 30,more than 30,2 to 4,4 years,No,No,External,none,no change,1 vehicle,1996,Liability
12542,Nov,1,Friday,Pontiac,Urban,Tuesday,Nov,2,Female,Married,41,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,12543,9,400,4,more than 30,more than 30,none,5 years,No,No,External,none,no change,1 vehicle,1996,All Perils
12543,Nov,1,Sunday,Honda,Urban,Monday,Nov,2,Male,Married,30,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,12544,7,400,1,more than 30,more than 30,more than 4,7 years,No,No,External,3 to 5,no change,1 vehicle,1996,Liability
12544,Nov,2,Monday,Mazda,Urban,Monday,Nov,2,Male,Married,57,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,12545,7,400,2,more than 30,more than 30,none,more than 7,No,No,External,3 to 5,no change,1 vehicle,1996,Collision
12545,Dec,2,Wednesday,Toyota,Rural,Monday,Dec,2,Male,Married,51,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,12546,15,400,4,more than 30,more than 30,1,5 years,No,No,External,1 to 2,no change,1 vehicle,1996,Collision
12546,Feb,1,Wednesday,Toyota,Urban,Tuesday,Feb,5,Male,Married,37,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,12547,11,500,1,more than 30,more than 30,1,7 years,No,No,External,none,2 to 3 years,3 to 4,1996,All Perils
12547,Mar,1,Sunday,Mazda,Urban,Wednesday,Mar,2,Male,Married,44,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,12548,9,400,4,more than 30,more than 30,2 to 4,7 years,No,No,External,more than 5,no change,1 vehicle,1996,Liability
12548,Mar,2,Wednesday,Pontiac,Urban,Friday,Mar,3,Male,Married,46,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,12549,5,400,3,more than 30,more than 30,more than 4,more than 7,No,No,External,more than 5,no change,1 vehicle,1996,Collision
12549,May,4,Saturday,Pontiac,Urban,Tuesday,May,5,Male,Married,48,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,1,12550,10,400,4,more than 30,more than 30,none,more than 7,No,No,External,none,no change,1 vehicle,1996,All Perils
12550,Apr,4,Friday,Toyota,Urban,Thursday,Apr,4,Male,Married,27,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,12551,15,400,3,more than 30,more than 30,none,6 years,No,No,External,more than 5,no change,1 vehicle,1996,All Perils
12551,Jun,2,Saturday,Pontiac,Urban,Thursday,Jul,3,Male,Married,32,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,12552,16,400,1,more than 30,more than 30,none,7 years,Yes,No,External,1 to 2,no change,1 vehicle,1996,Collision
12552,Jul,2,Saturday,Pontiac,Urban,Thursday,Jul,2,Male,Single,19,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,12553,14,400,4,more than 30,more than 30,1,4 years,No,No,External,none,no change,1 vehicle,1996,Liability
12553,Jul,2,Sunday,Honda,Urban,Thursday,Jul,2,Male,Married,45,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,12554,6,400,2,more than 30,more than 30,1,more than 7,No,No,External,more than 5,no change,1 vehicle,1996,Collision
12554,May,5,Sunday,Mazda,Urban,Wednesday,Jun,4,Male,Married,48,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,12555,2,400,4,more than 30,more than 30,1,more than 7,Yes,No,External,none,no change,1 vehicle,1996,Collision
12555,Jul,3,Friday,Honda,Urban,Thursday,Jul,3,Male,Single,34,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,12556,3,700,3,8 to 15,more than 30,none,7 years,No,No,External,none,no change,1 vehicle,1996,Liability
12556,Jul,3,Wednesday,Pontiac,Urban,Wednesday,Jul,3,Male,Married,51,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,12557,10,400,4,more than 30,more than 30,1,more than 7,No,No,External,none,no change,1 vehicle,1996,All Perils
12557,May,5,Sunday,Mazda,Urban,Thursday,Jun,1,Male,Married,32,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,12558,15,400,1,more than 30,more than 30,2 to 4,7 years,No,No,External,none,no change,1 vehicle,1996,Collision
12558,Jul,3,Tuesday,Mazda,Urban,Thursday,Jul,3,Male,Single,22,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,12559,15,400,2,more than 30,more than 30,1,6 years,No,No,External,3 to 5,1 year,2 vehicles,1996,All Perils
12559,Oct,1,Tuesday,Pontiac,Urban,Thursday,Oct,1,Male,Married,71,Third Party,Sedan - All Perils,Sedan,less than 20000,0,12560,16,400,3,more than 30,more than 30,2 to 4,7 years,No,No,External,1 to 2,no change,1 vehicle,1996,All Perils
12560,May,5,Sunday,VW,Urban,Friday,Jun,1,Male,Married,40,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,12561,3,400,1,more than 30,more than 30,none,6 years,No,No,External,3 to 5,no change,1 vehicle,1996,All Perils
12561,Nov,2,Tuesday,Honda,Urban,Friday,Nov,2,Male,Married,43,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,12562,8,400,3,more than 30,more than 30,2 to 4,7 years,No,No,External,more than 5,no change,1 vehicle,1996,Collision
12562,Oct,3,Friday,Toyota,Urban,Wednesday,Nov,4,Male,Married,72,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,12563,16,400,1,more than 30,more than 30,2 to 4,more than 7,No,No,External,more than 5,no change,1 vehicle,1996,Collision
12563,Sep,3,Wednesday,Pontiac,Rural,Monday,Sep,4,Male,Married,55,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,12564,12,400,2,more than 30,more than 30,2 to 4,more than 7,No,No,External,more than 5,no change,1 vehicle,1996,Collision
12564,Aug,3,Wednesday,BMW,Urban,Tuesday,Aug,4,Male,Married,42,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,12565,7,400,2,more than 30,more than 30,none,7 years,No,No,External,none,no change,1 vehicle,1996,Collision
12565,Aug,1,Thursday,Toyota,Urban,Thursday,Aug,1,Female,Single,30,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,12566,5,400,4,more than 30,more than 30,2 to 4,5 years,No,No,External,none,no change,1 vehicle,1996,Liability
12566,Aug,1,Wednesday,Mazda,Urban,Thursday,Aug,1,Male,Single,29,Policy Holder,Sedan - Collision,Sedan,less than 20000,0,12567,3,400,4,more than 30,more than 30,2 to 4,7 years,No,No,External,more than 5,no change,1 vehicle,1996,Collision
12567,Jul,3,Thursday,Honda,Rural,Wednesday,Aug,1,Female,Married,53,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,12568,16,400,1,more than 30,more than 30,2 to 4,7 years,No,No,External,1 to 2,no change,1 vehicle,1996,Liability
12568,May,5,Monday,Honda,Urban,Wednesday,May,5,Male,Married,45,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1,12569,15,400,4,more than 30,more than 30,1,more than 7,No,No,External,none,no change,1 vehicle,1996,Collision
12569,Jul,3,Wednesday,Pontiac,Urban,Tuesday,Jul,4,Male,Married,35,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,12570,5,400,4,more than 30,more than 30,1,6 years,No,No,External,none,no change,1 vehicle,1996,All Perils
12570,Jul,2,Saturday,Honda,Urban,Monday,Jul,2,Male,Married,49,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,12571,15,400,4,more than 30,more than 30,none,more than 7,No,No,External,3 to 5,no change,1 vehicle,1996,All Perils
12571,Jul,2,Friday,Ford,Urban,Tuesday,Jul,2,Male,Married,42,Policy Holder,Sedan - Collision,Sedan,60000 to 69000,0,12572,12,400,1,8 to 15,15 to 30,none,more than 7,No,No,External,none,no change,1 vehicle,1996,Collision
12572,May,4,Friday,Mazda,Urban,Monday,May,5,Male,Married,30,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,12573,1,400,4,more than 30,more than 30,2 to 4,6 years,No,No,External,1 to 2,no change,1 vehicle,1996,Liability
12573,May,3,Wednesday,Mazda,Urban,Wednesday,May,3,Female,Single,49,Policy Holder,Sedan - Liability,Sport,more than 69000,0,12574,14,400,1,more than 30,more than 30,1,6 years,No,No,External,none,no change,1 vehicle,1996,Liability
12574,May,3,Tuesday,Honda,Urban,Wednesday,May,3,Male,Single,27,Policy Holder,Sedan - Liability,Sport,more than 69000,0,12575,3,400,4,more than 30,more than 30,2 to 4,6 years,No,No,External,1 to 2,no change,1 vehicle,1996,Liability
12575,Apr,4,Sunday,Pontiac,Rural,Monday,Apr,4,Male,Single,32,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,12576,12,400,2,more than 30,more than 30,none,7 years,No,No,External,none,no change,1 vehicle,1996,All Perils
12576,Apr,4,Sunday,Toyota,Urban,Monday,Apr,4,Female,Single,29,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,12577,10,400,4,more than 30,more than 30,2 to 4,7 years,No,No,External,none,no change,1 vehicle,1996,Liability
12577,Apr,3,Wednesday,VW,Urban,Friday,Apr,4,Male,Married,71,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,12578,12,400,3,more than 30,more than 30,more than 4,more than 7,No,No,External,more than 5,no change,1 vehicle,1996,Liability
12578,Feb,4,Friday,Honda,Urban,Monday,Mar,4,Female,Single,26,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,12579,4,400,4,more than 30,more than 30,1,7 years,Yes,No,External,more than 5,no change,1 vehicle,1996,All Perils
12579,Jan,4,Wednesday,Ford,Urban,Thursday,Mar,3,Male,Married,34,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,12580,7,400,3,more than 30,more than 30,1,6 years,No,No,External,3 to 5,4 to 8 years,2 vehicles,1996,All Perils
12580,Dec,3,Wednesday,Toyota,Urban,Thursday,Dec,4,Male,Married,43,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,12581,15,400,3,more than 30,more than 30,none,more than 7,No,No,External,1 to 2,no change,1 vehicle,1996,Liability
12581,Nov,4,Monday,Honda,Urban,Tuesday,Nov,4,Male,Married,50,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,12582,2,400,4,more than 30,more than 30,more than 4,more than 7,No,No,External,none,no change,1 vehicle,1996,Liability
12582,Nov,2,Friday,Chevrolet,Urban,Friday,Nov,2,Male,Married,45,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,12583,7,400,4,more than 30,more than 30,more than 4,7 years,No,No,External,none,no change,1 vehicle,1996,Liability
12583,Nov,2,Friday,Mazda,Urban,Friday,Nov,3,Male,Single,18,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,12584,16,400,3,more than 30,more than 30,none,2 years,No,No,External,1 to 2,no change,1 vehicle,1996,Collision
12584,Nov,1,Friday,Toyota,Urban,Friday,Nov,2,Male,Married,40,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,12585,16,400,4,more than 30,more than 30,1,7 years,No,No,External,1 to 2,no change,1 vehicle,1996,All Perils
12585,Nov,1,Thursday,Accura,Urban,Wednesday,Nov,2,Female,Married,39,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,12586,6,400,3,more than 30,more than 30,2 to 4,5 years,No,No,External,1 to 2,no change,1 vehicle,1996,All Perils
12586,Nov,1,Tuesday,Pontiac,Urban,Friday,Dec,3,Female,Single,26,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,12587,8,700,2,more than 30,more than 30,more than 4,7 years,No,No,External,3 to 5,no change,1 vehicle,1996,Collision
12587,Nov,1,Wednesday,Pontiac,Urban,Monday,Nov,2,Male,Married,47,Third Party,Sedan - All Perils,Sedan,less than 20000,0,12588,14,400,3,more than 30,more than 30,1,more than 7,No,No,External,none,no change,3 to 4,1996,All Perils
12588,Oct,2,Wednesday,Toyota,Urban,Friday,Oct,3,Male,Single,35,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,12589,5,400,4,more than 30,more than 30,1,6 years,No,No,External,more than 5,no change,1 vehicle,1996,All Perils
12589,Oct,2,Thursday,Toyota,Urban,Tuesday,Nov,2,Male,Single,31,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,12590,13,400,2,more than 30,more than 30,2 to 4,6 years,No,No,External,3 to 5,no change,1 vehicle,1996,Liability
12590,Sep,3,Monday,Toyota,Urban,Wednesday,Sep,4,Male,Married,46,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,12591,10,400,4,more than 30,more than 30,1,more than 7,No,No,External,3 to 5,no change,1 vehicle,1996,Collision
12591,Sep,3,Tuesday,Chevrolet,Urban,Thursday,Sep,4,Male,Married,59,Policy Holder,Sedan - Collision,Sedan,40000 to 59000,0,12592,12,400,2,more than 30,more than 30,2 to 4,more than 7,No,No,External,more than 5,no change,1 vehicle,1996,Collision
12592,Aug,4,Friday,Toyota,Urban,Thursday,Sep,1,Male,Married,73,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,12593,10,400,2,more than 30,more than 30,1,more than 7,No,No,External,3 to 5,no change,1 vehicle,1996,Liability
12593,May,5,Tuesday,Chevrolet,Urban,Friday,Jun,1,Female,Married,37,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,12594,9,400,1,more than 30,more than 30,1,7 years,No,No,External,none,no change,1 vehicle,1996,Collision
12594,Aug,4,Saturday,Toyota,Urban,Monday,Aug,5,Male,Married,41,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,12595,2,400,2,more than 30,more than 30,2 to 4,7 years,No,No,External,more than 5,no change,1 vehicle,1996,Liability
12595,Jul,4,Monday,Pontiac,Urban,Tuesday,Jul,4,Male,Married,33,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,12596,14,400,4,more than 30,more than 30,more than 4,7 years,No,No,External,3 to 5,no change,1 vehicle,1996,Liability
12596,Jul,2,Thursday,Chevrolet,Urban,Thursday,Jul,3,Female,Single,32,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,12597,13,400,2,more than 30,more than 30,2 to 4,5 years,No,No,External,none,no change,1 vehicle,1996,Liability
12597,Jun,4,Saturday,Chevrolet,Urban,Monday,Jun,4,Male,Married,36,Policy Holder,Sedan - Liability,Sport,40000 to 59000,0,12598,2,500,2,more than 30,more than 30,2 to 4,more than 7,No,No,External,3 to 5,2 to 3 years,1 vehicle,1996,Liability
12598,Jun,4,Friday,Toyota,Urban,Tuesday,Jul,2,Male,Single,27,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,12599,4,400,1,more than 30,more than 30,none,7 years,No,No,External,none,no change,1 vehicle,1996,Collision
12599,Jun,3,Monday,Pontiac,Urban,Monday,Jun,3,Male,Married,45,Policy Holder,Sedan - Liability,Sport,less than 20000,0,12600,12,400,3,more than 30,more than 30,2 to 4,7 years,No,No,External,none,no change,1 vehicle,1996,Liability
12600,Jun,3,Wednesday,Toyota,Urban,Friday,Jun,3,Male,Single,31,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,12601,16,400,1,more than 30,more than 30,1,6 years,No,No,External,none,4 to 8 years,2 vehicles,1996,Collision
12601,Jun,1,Friday,Chevrolet,Rural,Monday,Jun,1,Male,Married,52,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,12602,14,400,1,more than 30,more than 30,more than 4,7 years,No,No,External,1 to 2,no change,1 vehicle,1996,Liability
12602,Jun,1,Saturday,Pontiac,Urban,Tuesday,Jun,2,Male,Married,61,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,12603,8,400,3,more than 30,more than 30,2 to 4,more than 7,No,No,External,none,no change,1 vehicle,1996,All Perils
12603,May,5,Sunday,Mazda,Urban,Thursday,Jun,1,Male,Married,56,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,12604,11,400,3,more than 30,more than 30,none,more than 7,No,No,External,none,no change,1 vehicle,1996,All Perils
12604,May,4,Tuesday,Mercury,Urban,Thursday,Jun,2,Male,Married,55,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,12605,10,400,1,more than 30,more than 30,1,more than 7,No,No,External,3 to 5,no change,1 vehicle,1996,Collision
12605,May,3,Friday,Pontiac,Urban,Friday,May,4,Male,Married,58,Policy Holder,Sedan - Liability,Sport,more than 69000,0,12606,13,400,4,more than 30,more than 30,more than 4,7 years,No,No,External,none,no change,1 vehicle,1996,Liability
12606,May,1,Thursday,Honda,Urban,Monday,May,2,Male,Married,52,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,12607,16,400,1,more than 30,more than 30,2 to 4,more than 7,No,No,External,more than 5,no change,1 vehicle,1996,Collision
12607,Apr,4,Tuesday,Honda,Urban,Monday,May,3,Male,Married,27,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,12608,11,400,1,more than 30,more than 30,1,6 years,No,No,External,none,no change,1 vehicle,1996,All Perils
12608,Apr,3,Wednesday,Pontiac,Rural,Friday,Apr,4,Male,Married,49,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,12609,15,400,4,more than 30,more than 30,more than 4,7 years,No,No,External,3 to 5,no change,1 vehicle,1996,Liability
12609,May,5,Wednesday,Pontiac,Urban,Friday,Jun,1,Male,Single,31,Third Party,Sedan - All Perils,Sedan,40000 to 59000,0,12610,15,400,1,more than 30,more than 30,1,6 years,No,No,External,none,no change,1 vehicle,1996,All Perils
12610,Mar,3,Wednesday,Toyota,Urban,Monday,Mar,4,Male,Married,53,Third Party,Sedan - Liability,Sport,30000 to 39000,0,12611,10,400,1,more than 30,more than 30,more than 4,more than 7,No,No,External,more than 5,no change,1 vehicle,1996,Liability
12611,Mar,2,Thursday,Toyota,Urban,Friday,Mar,2,Male,Married,63,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,12612,2,400,1,more than 30,more than 30,none,more than 7,No,No,External,none,no change,1 vehicle,1996,Collision
12612,Mar,2,Tuesday,Chevrolet,Urban,Tuesday,Mar,2,Male,Married,29,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,12613,3,400,4,more than 30,more than 30,2 to 4,6 years,No,No,External,none,no change,1 vehicle,1996,Liability
12613,Mar,1,Wednesday,Ford,Urban,Thursday,Mar,1,Male,Married,54,Policy Holder,Sedan - All Perils,Sedan,40000 to 59000,0,12614,10,400,3,more than 30,more than 30,none,more than 7,No,No,External,3 to 5,no change,1 vehicle,1996,All Perils
12614,Feb,4,Monday,Chevrolet,Urban,Tuesday,Mar,1,Female,Single,40,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,12615,2,400,2,more than 30,more than 30,none,7 years,No,No,External,none,no change,1 vehicle,1996,Collision
12615,Jan,5,Saturday,Chevrolet,Urban,Monday,Jan,5,Male,Married,36,Third Party,Sedan - Liability,Sport,20000 to 29000,0,12616,16,400,4,more than 30,more than 30,2 to 4,7 years,No,No,External,more than 5,no change,1 vehicle,1996,Liability
12616,Jan,5,Friday,Honda,Urban,Monday,Jan,5,Male,Married,44,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,12617,9,400,2,more than 30,more than 30,more than 4,7 years,No,No,External,none,no change,1 vehicle,1996,Liability
12617,Nov,4,Monday,Honda,Urban,Monday,Nov,4,Male,Single,24,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,12618,2,400,2,more than 30,more than 30,2 to 4,5 years,No,No,External,more than 5,no change,1 vehicle,1996,Liability
12618,Nov,3,Thursday,Honda,Urban,Monday,Nov,4,Female,Married,33,Third Party,Sedan - Collision,Sedan,less than 20000,0,12619,7,400,1,more than 30,more than 30,1,6 years,No,No,External,none,no change,1 vehicle,1996,Collision
12619,Nov,4,Thursday,Pontiac,Urban,Thursday,Nov,4,Male,Single,35,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,12620,11,400,3,more than 30,more than 30,none,6 years,No,No,External,3 to 5,no change,1 vehicle,1996,Liability
12620,Nov,4,Thursday,Pontiac,Urban,Friday,Nov,4,Male,Married,74,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,12621,9,400,4,more than 30,more than 30,2 to 4,more than 7,No,No,External,3 to 5,no change,1 vehicle,1996,Collision
12621,Nov,4,Wednesday,Toyota,Urban,Wednesday,Nov,4,Male,Married,45,Third Party,Sedan - Liability,Sport,30000 to 39000,0,12622,1,400,3,more than 30,more than 30,2 to 4,more than 7,No,No,External,more than 5,4 to 8 years,2 vehicles,1996,Liability
12622,May,5,Wednesday,Accura,Urban,Friday,Jun,1,Male,Married,44,Policy Holder,Sedan - Liability,Sport,more than 69000,0,12623,14,400,2,more than 30,more than 30,more than 4,7 years,No,No,External,more than 5,no change,1 vehicle,1996,Liability
12623,Feb,3,Sunday,Toyota,Urban,Thursday,Apr,5,Male,Single,26,Policy Holder,Sedan - Collision,Sedan,less than 20000,0,12624,2,400,1,more than 30,more than 30,none,7 years,No,No,External,3 to 5,no change,1 vehicle,1996,Collision
12624,Jun,2,Wednesday,Chevrolet,Urban,Wednesday,Jun,2,Male,Married,49,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,12625,2,400,3,more than 30,more than 30,2 to 4,7 years,No,No,External,3 to 5,no change,1 vehicle,1996,Collision
12625,May,2,Tuesday,Chevrolet,Urban,Thursday,May,2,Male,Single,33,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,12626,12,400,3,more than 30,more than 30,2 to 4,6 years,No,No,External,1 to 2,no change,1 vehicle,1996,Collision
12626,May,2,Monday,Chevrolet,Urban,Monday,May,2,Female,Single,34,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,12627,13,400,3,more than 30,more than 30,none,6 years,No,No,External,none,no change,1 vehicle,1996,Collision
12627,Mar,1,Saturday,Pontiac,Urban,Monday,Mar,3,Male,Married,54,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,12628,5,400,2,more than 30,more than 30,2 to 4,more than 7,No,No,External,1 to 2,no change,1 vehicle,1996,Liability
12628,Dec,5,Wednesday,VW,Urban,Monday,Jan,1,Male,Single,36,Third Party,Sedan - All Perils,Sedan,40000 to 59000,0,12629,10,400,2,more than 30,more than 30,2 to 4,7 years,No,No,External,more than 5,no change,3 to 4,1996,All Perils
12629,Dec,4,Wednesday,Mazda,Urban,Wednesday,Dec,4,Male,Single,33,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,12630,2,400,1,more than 30,more than 30,1,6 years,No,No,External,none,no change,1 vehicle,1996,Liability
12630,Apr,2,Thursday,Honda,Rural,Monday,Apr,3,Male,Married,57,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,12631,2,400,3,more than 30,more than 30,1,more than 7,Yes,Yes,Internal,more than 5,no change,1 vehicle,1996,Collision
12631,Jun,2,Thursday,Toyota,Urban,Monday,Jun,2,Male,Married,34,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,12632,3,400,4,more than 30,more than 30,more than 4,7 years,No,No,External,more than 5,no change,1 vehicle,1996,Liability
12632,Jun,2,Wednesday,Pontiac,Urban,Thursday,Jun,2,Male,Married,48,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,12633,2,400,4,more than 30,more than 30,2 to 4,7 years,No,No,External,more than 5,no change,1 vehicle,1996,Liability
12633,Oct,4,Friday,Dodge,Urban,Monday,Oct,5,Male,Married,63,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,12634,15,400,4,more than 30,more than 30,more than 4,more than 7,No,No,External,none,no change,1 vehicle,1996,Liability
12634,Oct,4,Monday,Chevrolet,Urban,Monday,Oct,4,Female,Single,34,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,12635,7,400,3,more than 30,more than 30,none,6 years,No,No,External,none,no change,1 vehicle,1996,Liability
12635,May,5,Wednesday,Pontiac,Urban,Tuesday,Jun,1,Male,Married,45,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,12636,9,400,2,more than 30,more than 30,1,more than 7,No,No,External,none,no change,1 vehicle,1996,Collision
12636,Oct,5,Saturday,Honda,Urban,Tuesday,Nov,4,Male,Single,45,Third Party,Sedan - Liability,Sport,20000 to 29000,0,12637,12,400,4,more than 30,more than 30,1,more than 7,No,No,External,more than 5,no change,1 vehicle,1996,Liability
12637,Oct,5,Saturday,Mazda,Urban,Friday,Nov,1,Female,Single,21,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,12638,6,400,2,more than 30,more than 30,2 to 4,3 years,No,No,External,1 to 2,no change,1 vehicle,1996,Liability
12639,Feb,2,Sunday,Ford,Urban,Friday,Feb,3,Male,Single,26,Policy Holder,Sedan - Collision,Sedan,40000 to 59000,0,12640,4,400,3,more than 30,more than 30,more than 4,6 years,No,No,External,1 to 2,no change,1 vehicle,1996,Collision
12640,Feb,3,Monday,Mazda,Urban,Friday,Feb,4,Male,Married,34,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,12641,5,400,2,more than 30,more than 30,1,7 years,No,No,External,none,no change,1 vehicle,1996,Collision
12641,May,3,Sunday,Chevrolet,Urban,Tuesday,May,3,Male,Married,48,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,12642,16,400,2,more than 30,more than 30,1,4 years,No,No,External,none,no change,1 vehicle,1996,Collision
12642,May,2,Sunday,Toyota,Rural,Friday,Aug,4,Male,Single,30,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,12643,13,400,4,more than 30,more than 30,none,7 years,No,No,External,more than 5,4 to 8 years,2 vehicles,1996,All Perils
12643,Jul,2,Saturday,Pontiac,Urban,Monday,Jul,2,Male,Single,36,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,12644,1,400,4,more than 30,more than 30,2 to 4,7 years,No,No,External,none,no change,1 vehicle,1996,Liability
12644,Jun,3,Monday,Pontiac,Urban,Tuesday,Jun,5,Female,Married,46,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,12645,8,400,4,more than 30,more than 30,none,7 years,No,No,External,more than 5,no change,1 vehicle,1996,Liability
